chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
779,78,The Last Fight,Saigo no Kenka,His Final Battle,19,09/03/2015,"Episode 714 (p. 12-13), Episode 715 (p. 13), Episode 720 (p. 2-12, 14-19)",,,,
780,78,The Curse of Heart,Hato no Jubaku,The Heart Curse,15,23/03/2015,"Episode 711 (p. 2-3), Episode 721 (p. 2-15)",,,,
781,78,Long-Cherished Desire,Honkai,Desire,19,30/03/2015,"Episode 722 (p. 2-15), Episode 723 (p. 15-19)",,,,
782,78,The Charisma of Evil,Aku no Karisuma,Champion of Evil,19,06/04/2015,"Episode 723 (p. 2-10), Episode 724 (p. 10-19)",,,,
783,78,In My Way,Jama da,In My Way,19,13/04/2015,"Episode 724 (p. 2-6), Episode 725 (p. 6-19)",,,,
784,78,Gear Fourth,Gia Fosu,Gear Four,19,27/04/2015,Episode 726 (p. 2-19),,,,
785,78,Even If Your Legs Break,Ashi ga Oretemo,On Broken Legs,19,11/05/2015,"Episode 727 (p. 2-15), Episode 728 (p. 16-19)",,,,
786,79,Gatz,Gyattsu,Gyats,17,18/05/2015,"Episode 728 (p. 2-11), Episode 729 (p. 11-17)",,,,
787,79,4 Minutes Before,Yon-pun Mae,Four Minutes Before,17,25/05/2015,"Episode 729 (p. 2-9), Episode 730 (p. 10-17)",,,,
788,79,My Fight,Watashi no Tatakai,My Battle,17,01/06/2015,"Episode 730 (p. 2-8), Episode 731 (p. 9-17)",,,,
789,79,Lucy!!,Rushi!!,LUCY!!,19,08/06/2015,"Episode 731 (p. 2-5), Episode 732 (p. 6-19)",,,,
790,79,Heaven and Earth,Ten to Chi,Heaven and Earth,19,22/06/2015,Episode 733 (p. 3-19),,,,
791,79,Rubble,Gareki,Rubble,17,29/06/2015,Episode 734 (p. 2-17),,,,
792,79,Prostration,Dogeza,On Hands and Knees,15,06/07/2015,Episode 735 (p. 2-15),,,,
793,79,Tiger and Dog,Tora to Inu,Tiger and Dog,15,13/07/2015,Episode 736 (p. 2-15),,,,
794,79,Sabo's Adventure,Sabo no Boken,Sabo's Adventure,15,18/07/2015,"Episode 737 (p. 2-7), Episode 738 (p. 7-15)",,,,
795,79,Suicide,Jisatsu,Suicide,17,03/08/2015,"Episode 738 (p. 2-3), Episode 739 (p. 4-17)",,,,
796,80,Soldier-san's Determination,Heitai-san no Ketsui,Soldier's Conviction,19,10/08/2015,"Episode 740 (p. 3-15), Episode 741 (p. 16-19)",,,,
797,80,Rebecca,Rebekka,Rebecca,17,24/08/2015,"Episode 741 (p. 2-11), Episode 742 (p. 12-17)",,,,
798,80,Heart,Hato,Heart,17,31/08/2015,"Episode 742 (p. 2-8), Episode 743 (p. 9-17)",,,,
799,80,Parent and Child,Oya to Ko,Father and Sons,17,07/09/2015,"Episode 743 (p. 2-7), Episode 744 (p. 7-17)",,,,
800,80,Followers's Sake Cups,Kobun Sakazuki,Sons' Cups,17,19/09/2015,Episode 745 (p. 2-17),,,,
801,80,Opening Declaration,Kaimaku Sengen,Opening Speech,17,28/09/2015,Episode 746 (p. 2-17),,,,
802,80,Zou,Zo,Zou,17,05/10/2015,"Episode 747 (p. 3-5), Episode 751 (p. 5-7, 12-17), Episode 752 (p. 7-11)",,,,
803,80,Elephant Climbing,Tozo,Elephant Climbing,13,10/10/2015,"Episode 752 (p. 2-11), Episode 753 (p. 12-13)",,,,
804,80,Adventure in the Country on the Back of an Elephant,Zo no Se no Kuni no Boken,Adventure in the Land Atop the Elephant's Back,17,26/10/2015,Episode 753 (p. 2-17),,,,
805,80,The Mink Tribe,Minku-zoku,The Minks,17,02/11/2015,Episode 754 (p. 2-17),,,,
806,80,At the Fortress of Right Belly,Ubara no Toride nite,At Rightflank Fortress,17,09/11/2015,Episode 755 (p. 2-17),,,,
807,81,10 Days Ago,Toka Mae,Ten Days Earlier,17,21/11/2015,"Episode 756 (p. 2-15), Episode 757 (p. 15-17)",,,,
808,81,Duke Inuarashi,Inuarashi Koshaku,Duke Dogstorm,17,30/11/2015,"Episode 757 (p. 2-11), Episode 758 (p. 12-17), Episode 760 (p. 17)",,,,
809,81,Master Nekomamushi,Nekomamushi no Danna,The Cat Viper,19,07/12/2015,"Episode 758 (p. 3-10), Episode 759 (p. 11-19), Episode 760 (p. 3)",,,,
810,81,The Curly Hat Pirates Arrive,"Guruwara no Ichimi, Joriku",The Twirly Hat Crew Arrives,17,21/12/2015,"Episode 759 (p. 2-5), Episode 760 (p. 5-17)",,,,
811,81,Roko,Roko,Roko,19,04/01/2016,"Episode 761 (p. 3-16), Episode 762 (p. 17-19)",,,,
812,81,"Capone ""Gang"" Bege","Kapone ""Gyangu"" Bejji","Capone ""Gang"" Bege",17,18/01/2016,"Episode 762 (p. 2-10), Episode 763 (p. 10-17)",,,,
813,81,Tea Party Invitation,Ochakai no Shotaijo,Tea Party Invitation,17,25/01/2016,"Episode 763 (p. 2-10), Episode 764 (p. 10-17)",,,,
814,81,Let's Go See Master Nekomamushi,Nekomamushi no Dan'na ni Ai ni Yuko,Let's Go See The Cat Viper,17,01/02/2016,"Episode 764 (p. 2-9), Episode 765 (p. 2-3, 10-17)",,,,
815,81,Take Me with You!!,Ore mo Tsureteke!!,Take Me with You!!,17,08/02/2016,"Episode 765 (p. 2), Episode 766 (p. 2-17)",,,,
816,81,Dog vs. Cat,Inu Basasu Neko,Dog vs. Cat,17,15/02/2016,Episode 767 (p. 2-17),,,,
817,82,Raizo of the Mist,Kiri no Raizo,Raizo of the Mist,19,29/02/2016,"Episode 768 (p. 3-14), Episode 769 (p. 15-19)",,,,
818,82,Inside the Whale,Kujira no Naka de,Inside the Whale,17,07/03/2016,"Episode 769 (p. 2-7), Episode 770 (p. 8-17)",,,,
819,82,"Momonosuke, Heir of the Kozuki Family",Kozuki-ke Atotori Momonosuke,"Momonosuke, Heir to the Kozuki Clan",17,14/03/2016,"Episode 770 (p. 2), Episode 771 (p. 2-13), Episode 772 (p. 14-17)",,,,
820,82,Dog and Cat Have a History,Inu to Neko ni Rekishi Ari,Cats and Dogs Have a History,17,19/03/2016,"Episode 772 (p. 2-10), Episode 773 (p. 11-17)",,,,
821,82,Understood,Shochi Shita,Understood,19,04/04/2016,"Episode 773 (p. 3-7), Episode 774 (p. 7-19)",,,,
822,82,Descending the Elephant,Gezo,Descending the Elephant,17,11/04/2016,Episode 776 (p. 2-17),,,,
823,82,A World Abuzz,Zawatsuku Sekai,The World is Restless,17,18/04/2016,"Episode 777 (p. 2-8, 10-13), Episode 778 (p. 8-9, 13-17)",,,,
824,82,Whim,Kimagure,Playing Pirates,19,25/04/2016,"Episode 779 (p. 3-15), Episode 783 (p. 16-19)",,,,
825,82,The WENP's Comic Strip,Sekei no Emonogatari,Comic Strip,13,09/05/2016,"Episode 783 (p. 2-9), Episode 784 (p. 9-13)",,,,
826,82,0 and 4,Rei to Yon,0 and 4,17,23/05/2016,"Episode 784 (p. 2-8), Episode 785 (p. 8-17)",,,,
827,82,Totto Land,Totto Rando,Totto Land,17,30/05/2016,"Episode 785 (p. 2-3, 5), Episode 786 (p. 3-17)",,,,
828,83,1 and 2,Ichi to Ni,1 and 2,17,06/06/2016,"Episode 787 (p. 2-13), Episode 788 (p. 14-17)",,,,
829,83,"Emperor of the Sea, Charlotte Linlin","Kaizoku ""Yonko"" Sharotto Rinrin","Emperor of the Sea, Charlotte Linlin",18,20/06/2016,"Episode 788 (p. 3-10), Episode 789 (p. 10-18)",,,,
830,83,A Man You Can Bet On,Kakerareru Otoko,A Man You Can Bet On,17,27/06/2016,Episode 790 (p. 2-17),,,,
831,83,Adventure in the Mysterious Forest,Fushigi na Mori no Boken,Adventure in the Mysterious Forest,17,04/07/2016,"Episode 791 (p. 2-14), Episode 792 (p. 15-17)",,,,
832,83,Germa Kingdom,Jeruma Okoku,Kingdom of Germa,19,16/07/2016,"Episode 792 (p. 3-12), Episode 793 (p. 13-19)",,,,
833,83,Vinsmoke Judge,Vinsumoku Jajji,Vinsmoke Judge,19,25/07/2016,"Episode 793 (p. 3-10), Episode 794 (p. 10-19)",,,,
834,83,My Dream,Ore no Yume,My Dream,17,01/08/2016,"Episode 794 (p. 2-3), Episode 795 (p. 4-17)",,,,
835,83,The Nation of Souls,Tamashii no Kuni,Kingdom of Soul,19,08/08/2016,"Episode 796 (p. 3-17), Episode 797 (p. 17-19)",,,,
836,83,The Vivre Card Lola Gave,Rora ga Kureta Biburu Kado,Lola's Vivre Card,15,22/08/2016,"Episode 797 (p. 2-13), Episode 798 (p. 14-15)",,,,
837,83,Luffy vs. Commander Cracker,Rufi Basasu Shosei Kurakka,Luffy vs. Cracker the General,17,29/08/2016,"Episode 798 (p. 2-12), Episode 799 (p. 13-17)",,,,
838,83,Choniki,Choniki,Chobro,17,05/09/2016,"Episode 799 (p. 2-9), Episode 800 (p. 10-17)",,,,
839,84,I Owe You My Life,Kuso Osewa ni Narimashita,I Owe You My Life!,17,17/09/2016,"Episode 800 (p. 2-6), Episode 801 (p. 7-14), Episode 802 (p. 15-17)",,,,
840,84,Iron Mask,Tekkamen,The Iron Mask,17,26/09/2016,"Episode 802 (p. 2-7), Episode 803 (p. 8-17)",,,,
841,84,To the East Blue,Isuto Buru e,To the East Blue,17,03/10/2016,"Episode 804 (p. 2-14), Episode 805 (p. 15-17)",,,,
842,84,The Power of a Full Stomach,Manpuku no Chikara,The Power of a Full Stomach,15,08/10/2016,"Episode 805 (p. 2-9), Episode 806 (p. 9-15)",,,,
843,84,Vinsmoke Sanji,Vinsumoku Sanji,Vinsmoke Sanji,19,24/10/2016,"Episode 806 (p. 3-11), Episode 807 (p. 11-13, 17-19), Episode 808 (p. 14-16)",,,,
844,84,Luffy vs. Sanji,Rufi Basasu Sanji,Luffy vs. Sanji,17,31/10/2016,Episode 808 (p. 2-17),,,,
845,84,Forces of Rage,Ikari no Gundan,Forces of Rage,17,07/11/2016,"Episode 809 (p. 2-11), Episode 810 (p. 12-17)",,,,
846,84,Tamago's Security,Tamago no Keibi,Tamago Security,17,21/11/2016,"Episode 811 (p. 2-11), Episode 812 (p. 12-17)",,,,
847,84,Luffy and Big Mom,Rufi to Biggu Mamu,Luffy and Big Mom,17,28/11/2016,"Episode 812 (p. 2-10), Episode 813 (p. 10-17)",,,,
848,84,Goodbye,Sayonara,Goodbye,19,05/12/2016,"Episode 813 (p. 3-7), Episode 814 (p. 8-18), Episode 815 (p. 18-19)",,,,
849,85,Choniki in Mirrorland,Kagami no Kuni no Choniki,Chobro in the Land of Mirrors,17,12/12/2016,"Episode 814 (p. 3-6), Episode 815 (p. 2, 7-17)",,,,
850,85,A Ray of Light,Hitosuji no Hikari,A Ray of Light,17,26/12/2016,"Episode 816 (p. 2-3, 5, 7-11), Episode 817 (p. 4, 6, 12-17)",,,,
851,85,Moist Cigarette,Shikemoku,Dog-End,17,07/01/2017,"Episode 817 (p. 3-7), Episode 818 (p. 8-17)",,,,
852,85,Germa's Failure,Jeruma no Shippaisaku,Germa's Failure,17,16/01/2017,"Episode 819 (p. 2-13), Episode 820 (p. 14-17)",,,,
853,85,Not Here,Koko ja ne,Not Here,17,30/01/2017,"Episode 820 (p. 2-9), Episode 821 (p. 10-17)",,,,
854,85,What Are You Doing?,Nani Yattenda,What Are You Doing?,17,06/02/2017,"Episode 821 (p. 2-3), Episode 822 (p. 4-17)",,,,
855,85,Gugyurururu!!!,Gugyurururu!!!,Glurrgle!!!,17,13/02/2017,"Episode 823 (p. 2-12), Episode 824 (p. 13-17)",,,,
856,85,Liar,Usotsuki,Liar,17,20/02/2017,"Episode 824 (p. 2-7), Episode 825 (p. 8-17)",,,,
857,85,Rook,Ruku,Rook,17,06/03/2017,"Episode 826 (p. 2-15), Episode 827 (p. 16-17)",,,,
858,85,Meeting,Kaigi,Meeting,19,13/03/2017,"Episode 827 (p. 3-15), Episode 828 (p. 14-19)",,,,
859,86,Emperor Assassination Plan,Yonko Ansatsu Sakusen,Emperor Assassination Plan,17,18/03/2017,"Episode 828 (p. 2-11), Episode 829 (p. 11-17)",,,,
860,86,10:00 Opening of the Banquet,Ju-ji Kaien,10:00 Start,17,27/03/2017,"Episode 829 (p. 2-6), Episode 830 (p. 7-17)",,,,
861,86,Good Actor,Engi-ha,Veteran Actor,17,03/04/2017,Episode 831 (p. 2-17),,,,
862,86,The Intelligent Ones,Zuno-ha,Cerebral,17,17/04/2017,Episode 832 (p. 2-17),,,,
863,86,The Honorable,Gikyo-ha,The Honorable,19,24/04/2017,Episode 833 (p. 3-19),,,,
864,86,The Vinsmoke Family Massacre Plan,Vinsumoku-ke Minagoroshi Keikaku,The Vinsmoke Massacre Plot,17,08/05/2017,"Episode 885 (p. 1), Episode 834 (p. 2-17)",,,,
865,86,"Hey, Mother",Ne Maza,"Hey, Mother",17,15/05/2017,"Episode 885 (p. 1), Episode 835 (p. 2-17)",,,,
866,86,Natural Born Destroyer,Nachuraru Bon Desutoroiya,Natural Born Destroyer,17,29/05/2017,"Episode 885 (p. 1), Episode 836 (p. 2-17)",,,,
867,86,Happy Birthday,Happi Basude,Happy Birthday,17,05/06/2017,Episode 837 (p. 2-17),,,,
868,86,KX Launcher,Ke-Ekkusu Rancha,KX Launcher,17,12/06/2017,"Episode 885 (p. 1), Episode 838 (p. 2-15), Episode 839 (p. 16-17)",,,,
869,86,Under Siege,Rojo,Castling,19,19/06/2017,"Episode 839 (p. 2-16), Episode 840 (p. 17-19)",,,,
870,87,Parting,Ketsubetsu,Parting,17,03/07/2017,"Episode 885 (p. 1), Episode 840 (p. 2-13), Episode 841 (p. 14-17)",,,,
871,87,"You Can Do It, Caesar!!",Ganbare Shiza!!,"You Can Do It, Caesar!!",17,10/07/2017,"Episode 885 (p. 1), Episode 841 (p. 2-11), Episode 842 (p. 12-17)",,,,
872,87,Thick and Fluffy,Torofuwa,Thick and Fluffy,19,15/07/2017,"Episode 842 (p. 3-9), Episode 843 (p. 10-19)",,,,
873,87,Trapped Like Sweets in a Cage,Happo Fusa-gashi,Recipe For Disaster,17,24/07/2017,"Episode 843 (p. 2-7), Episode 844 (p. 6-17)",,,,
874,87,Become My Servant,Watashi no Shimobe ni Narinasai,Be My Servant,19,07/08/2017,"Episode 844 (p. 3-5), Episode 845 (p. 5-19)",,,,
875,87,A Woman's Honor,Onna no Jingi,A Woman's Honor,17,21/08/2017,"Episode 846 (p. 2-14), Episode 847 (p. 14-17)",,,,
876,87,Pudding Coincidentally Appears!!,"Purin, Guzen Arawaru!!",Pudding Coincidentally Appears!!,17,28/08/2017,"Episode 847 (p. 2-12), Episode 848 (p. 12-17)",,,,
877,87,Not Sweet,Amakunai,Bittersweet,17,04/09/2017,"Episode 848 (p. 2-9), Episode 849 (p. 10-17)",,,,
878,87,"Mink Tribe, Guardians Captain Pedro",Minku-zoku Gadianzu Dancho Pedoro,Commander Pedro of the Mink Guardians,19,16/09/2017,"Episode 849 (p. 3-5), Episode 850 (p. 6-19)",,,,
879,87,"One of Big Mom's ""3 Sweet Commanders"", Katakuri","Biggu Mamu ""Suito San Shosei"" Katakuri","Big Mom's Sweet 3 General, Katakuri",17,25/09/2017,"Episode 851 (p. 2-15), Episode 852 (p. 15-17)",,,,
880,88,Zero Escape,Tairo Zero,Zero Escape,17,02/10/2017,"Episode 852 (p. 2-12), Episode 853 (p. 13-17)",,,,
881,88,Wave Room,Nami no Heya,Wave Room,17,07/10/2017,"Episode 853 (p. 2-10), Episode 854 (p. 11-17)",,,,
882,88,Beyond the Emperor's Expectations,Yonko no Sotei-gai,Beyond the Emperor's Expectations,17,23/10/2017,"Episode 854 (p. 2-8), Episode 855 (p. 8-17)",,,,
883,88,Merienda,Merienda,Merienda,17,30/10/2017,"Episode 855 (p. 2-5), Episode 856 (p. 5-17)",,,,
884,88,Who,Dare da,Who Is That?,17,06/11/2017,"Episode 857 (p. 2-15), Episode 858 (p. 15-17)",,,,
885,88,It's BrulÈe!!!,Buryure dayo!!!,I'm Brulee!!!,17,13/11/2017,"Episode 858 (p. 2-9, 14-17), Episode 859 (p. 10-13)",,,,
886,88,Way of Life,Ikizama dechu yo,Way of Life,19,27/11/2017,"Episode 859 (p. 3-12), Episode 860 (p. 12-19)",,,,
887,88,"Somewhere, Someone is Wishing for Your Happiness",Dokoka de Dareka ga Kimi no Shiawase o Negatteru,Someone Somewhere is Wishing for Your Happiness,17,04/12/2017,"Episode 860 (p. 2-8), Episode 861 (p. 8-17)",,,,
888,88,Lion,Shishi,Lion,17,11/12/2017,"Episode 885 (p. 1), Episode 861 (p. 2, 4-7), Episode 862 (p. 2-3, 6-17)",,,,
889,88,An Unknown Mama,Michi no Mama,Unfamiliar Mama,17,25/12/2017,"Episode 862 (p. 2-5), Episode 863 (p. 6-17)",,,,
890,89,Big Mom on the Ship,Fune no Ue no Biggu Mamu,Big Mom on the Ship,19,04/01/2018,"Episode 863 (p. 3-5), Episode 864 (p. 4-18), Episode 865 (p. 18-19)",,,,
891,89,Believing in Me,Shinjirareteru,They Believe in Me,17,15/01/2018,"Episode 865 (p. 2-11), Episode 866 (p. 12-17)",,,,
892,89,Recognized as Strong Opponents,Kyoteki Nintei,Threat Confirmed,17,29/01/2018,"Episode 866 (p. 2-9), Episode 867 (p. 9-17)",,,,
893,89,36th Daughter of the Charlotte Family - Flampe,Sharotto-ke Sanjuroku-jo Furanpe,"Flampe, 36th Daughter of Charlotte",17,05/02/2018,"Episode 867 (p. 2-8), Episode 868 (p. 8-17)",,,,
894,89,12:05,Rei-ji Go-fun,12:05,17,10/02/2018,"Episode 865 (p. 2-3), Episode 868 (p. 9-12), Episode 869 (p. 3-8, 11, 13-17)",,,,
895,89,Pirate Luffy vs. Commander Katakuri,Kaizoku Rufi Basasu Shosei Katakuri,Luffy the Pirate vs. General Katakuri,17,19/02/2018,Episode 870 (p. 2-17),,,,
896,89,The Last Request,Saigo no Onegai,One Last Thing,17,05/03/2018,Episode 871 (p. 2-17),,,,
897,89,Pekoms' Cacao Island Escape Plan,Pekomuzu no Kakao-to Dasshutsu Sakusen,Pekoms's Cacao Island Escape Plan,17,12/03/2018,Episode 872 (p. 2-17),,,,
898,89,We'll Definitely Return,Kanarazu Modoru,I Will Return,17,19/03/2018,Episode 873 (p. 2-17),,,,
899,89,The Last Stand,Saigo no Toride,The Final Fortress,17,26/03/2018,Episode 874 (p. 2-17),,,,
900,89,Bad End Musical,Baddoendo Myujikaru,Bad End Musical,19,02/04/2018,Episode 875 (p. 3-19),,,,
901,90,"Even If You Die, Don't Die!!!",Shindemo Shinunayo!!!,Don't Let Even Death Stop You!!!,17,16/04/2018,Episode 876 (p. 2-17),,,,
902,90,End Roll,Endo Roru,End Roll,19,23/04/2018,"Episode 871 (p. 10), Episode 877 (p. 3-19)",,,,
903,90,The Fifth Emperor,Go-banme no Kotei,Fifth Emperor,17,02/05/2018,"Episode 885 (p. 1), Episode 878 (p. 2-8), Episode 879 (p. 5, 8-17)",,,,
904,90,Introducing the Revolutionary Army Commanders,Kakumei-gun Zengun Taicho Tojo,Introducing the Revolutionary Army Captains,15,14/05/2018,"Episode 885 (p. 1), Episode 880 (p. 2-15)",,,,
905,90,A Beautiful World,Utsukushii Sekai,What a Beautiful World,17,28/05/2018,"Episode 881 (p. 2-4), Episode 882 (p. 5-7, 14-15), Episode 883 (p. 8-14, 16-17)",,,,
906,90,The Holy Land Mary Geoise,Seichi Marijoa,Sacred Marijoa,17,04/06/2018,"Episode 884 (p. 2-10), Episode 885 (p. 11-17)",,,,
907,90,The Empty Throne,Kara no Gyokuza,The Empty Throne,17,11/06/2018,"Episode 886 (p. 7-16), Episode 887 (p. 2-6, 16-17)",,,,
908,90,The Levely Begins,Reveri Kaimaku,The Reverie Begins,17,18/06/2018,"Episode 888 (p. 2-9), Episode 889 (p. 10-17)",,,,
909,90,Seppuku,Seppuku,Seppuku,17,02/07/2018,"Episode 890 (p. 2-7), Episode 892 (p. 8-17)",,,,
910,90,Onward to Wano Country,Iza Wano Kuni e,Onward to Wano,17,09/07/2018,"Episode 891 (p. 2-14), Episode 892 (p. 14-16), Episode 893 (p. 16-17)",,,,
911,91,Adventure in the Land of Samurai,Samurai no Kuni no Boken,Adventure in the Land of Samurai,19,14/07/2018,"Episode 893 (p. 3-11), Episode 894 (p. 12-19)",,,,
912,91,Amigasa Village,Amigasa-mura,Amigasa Village,19,23/07/2018,"Episode 894 (p. 3-7), Episode 897 (p. 8-19)",,,,
913,91,Tsuru Returns the Favor,Tsuru no Ongaeshi,The Crane Returns the Favor,17,06/08/2018,"Episode 898 (p. 2-11), Episode 899 (p. 10-17)",,,,
914,91,Okobore Town,Okobore-cho,Okobore Town,17,20/08/2018,"Episode 900 (p. 2-13), Episode 901 (p. 13-17)",,,,
915,91,Bakura Town,Bakura-cho,Bakura Town,17,27/08/2018,"Episode 899 (p. 14), Episode 901 (p. 2-7), Episode 902 (p. 8-17)",,,,
916,91,Wano Country Grand Sumo Tournament,Wano Kuni Ozumo,Wano Sumo,19,03/09/2018,"Episode 902 (p. 3-6), Episode 903 (p. 6-15), Episode 904 (p. 11, 15-19)",,,,
917,91,The Treasure Ship of Provisions,Shokuryo Takarabune,Food Treasure Barge,17,15/09/2018,"Episode 904 (p. 2-5), Episode 905 (p. 6-17)",,,,
918,91,Luffy-tarou Returns the Favor,Rufitaro no Ongaeshi,Luffytaro Returns the Favor,17,22/09/2018,"Episode 906 (p. 2-11), Episode 908 (p. 12-17)",,,,
919,91,The Ruins of Oden Castle,Oden-jo Ato,The Ruins of Oden Castle,17,01/10/2018,"Episode 908 (p. 2-5), Episode 909 (p. 6-17)",,,,
920,91,I Love Oden,Oden ga Suki,For Love of Oden,17,06/10/2018,"Episode 910 (p. 2-12), Episode 911 (p. 12-17)",,,,
921,91,Shutenmaru,Shutenmaru,Shutenmaru,19,22/10/2018,"Episode 911 (p. 3-9), Episode 912 (p. 10-19)",,,,
922,92,Beasts Pirates Governor-General: Kaidou,Hyakuju Kaizokudan Sotoku Kaido,Supreme Commander Kaido of the Animal Kingdom Pirates,17,29/10/2018,"Episode 912 (p. 3, 6), Episode 913 (p. 2-15), Episode 914 (p. 15-17)",,,,
923,92,Emperor of the Sea Kaidou vs. Luffy,Yonko Kaido Basasu Rufi,Emperor of the Sea Kaido vs. Luffy,17,05/11/2018,"Episode 914 (p. 2-11), Episode 915 (p. 12-17)",,,,
924,92,Ha,Ha,Huh,15,12/11/2018,"Episode 915 (p. 2-4), Episode 916 (p. 5-15)",,,,
925,92,Blank,Buranku,Absence,17,26/11/2018,"Episode 917 (p. 2-12), Episode 918 (p. 12-17)",,,,
926,92,The Prisoner Mine,Shujin Saikutsujo,Excavation Labor Camp,17,03/12/2018,"Episode 918 (p. 2-8), Episode 919 (p. 8-17)",,,,
927,92,O-Toko the Kamuro,Kamuro no O-Toko,Otoko the Kamuro,15,10/12/2018,"Episode 920 (p. 2-13), Episode 921 (p. 14-15)",,,,
928,92,Introducing Komurasaki the Oiran,Oiran Komurasaki Tojo,Introducing Komurasaki the Oiran,17,22/12/2018,"Episode 920 (p. 2-3), Episode 921 (p. 4, 6-16), Episode 922 (p. 16-17), Episode 923 (p. 4-5)",,,,
929,92,"Shogun of the Wano Country, Kurozumi Orochi",Wano Kuni Shogun - Kurozumi Orochi,"Shogun of Wano, Kurozumi Orochi",18,07/01/2019,"Episode 922 (p. 3-12), Episode 923 (p. 13-18)",,,,
930,92,Ebisu Town,Ebisu-cho,Ebisu Town,17,21/01/2019,"Episode 923 (p. 2-7), Episode 924 (p. 7-17)",,,,
931,92,O-Soba Mask,O-Soba Masuku,Soba Mask,17,04/02/2019,"Episode 925 (p. 2-13), Episode 926 (p. 14-17)",,,,
932,93,Shogun and Oiran,Shogun to Oiran,Shogun and Oiran,17,09/02/2019,"Episode 926 (p. 2-9), Episode 927 (p. 9-17)",,,,
933,93,A Warrior's Mercy,Bushi no Nasake,A Warrior's Mercy,17,18/02/2019,"Episode 927 (p. 2-4), Episode 928 (p. 5-17)",,,,
934,93,Hyogoro of the Flower,Hana no Hyogoro,Hyogoro The Flower,15,25/02/2019,"Episode 929 (p. 2-14), Episode 930 (p. 14-15)",,,,
935,93,Queen,Kuin,Queen,17,11/03/2019,"Episode 930 (p. 2-10), Episode 931 (p. 11-17)",,,,
936,93,The Grand Sumo Inferno,Ozumo Inferuno,Sumo Inferno,17,18/03/2019,"Episode 931 (p. 2-7), Episode 932 (p. 7-17)",,,,
937,93,Gyukimaru on Oihagi Bridge,Oihagi-bashi no Gyukimaru,Gyukimaru on Bandit's Bridge,17,25/03/2019,"Episode 933 (p. 3-14), Episode 934 (p. 14-17)",,,,
938,93,A Woman's Secret,On'na no Himitsu,A Woman's Secret,13,01/04/2019,"Episode 934 (p. 2-9), Episode 935 (p. 10-13)",,,,
939,93,The Old Leopard Never Forgets the Way,Oitaru Hyo wa Michi o Wasurezu,The Old Leopard Never Forgets the Way,17,15/04/2019,"Episode 935 (p. 8-14), Episode 936 (p. 2-7, 14-17)",,,,
940,93,Sparks of Rebellion,Hangyaku no Hidane,Sparks of Rebellion,17,22/04/2019,"Episode 936 (p. 2-5), Episode 937 (p. 5-17)",,,,
941,93,The Star of Ebisu Town,Ebisu-cho no Ninkimono,The Star of Ebisu,17,27/04/2019,"Episode 938 (p. 3-13), Episode 939 (p. 9, 14-17)",,,,
942,93,"Daimyo of Hakumai, Shimotsuki Yasuie","""Hakumai Daimyo"" Shimotsuki Yasuie","Daimyo of Hakumai, Shimotsuki Yasuie",17,13/05/2019,"Episode 939 (p. 2-9), Episode 940 (p. 9-17)",,,,
943,94,SMILE,Sumairu,SMILE,17,27/05/2019,"Episode 940 (p. 2-3), Episode 941 (p. 4-17)",,,,
944,94,Partner,Aibo,Partner,17,03/06/2019,"Episode 942 (p. 2-13), Episode 943 (p. 14-17)",,,,
945,94,O-Lin,O-Rin,Olin,19,10/06/2019,"Episode 943 (p. 3-11), Episode 944 (p. 12-19)",,,,
946,94,Queen vs. O-Lin,Kuin Basasu O-Rin,Queen vs. Olin,17,24/06/2019,Episode 945 (p. 2-17),,,,
947,94,Queen's Gamble,Kuin no Kake,Queen's Gamble,17,01/07/2019,"Episode 946 (p. 2-13), Episode 947 (p. 13-17)",,,,
948,94,Introducing Kawamatsu the Kappa,"""Kappa no Kawamatsu"" Tojo",Introducing Kawamatsu the Kappa,17,08/07/2019,"Episode 947 (p. 2-10), Episode 948 (p. 9-17)",,,,
949,94,Mummy,Miira,Mummy,19,22/07/2019,"Episode 948 (p. 3-6), Episode 949 (p. 7-19)",,,,
950,94,The Warriors' Dreams,Tsuwamono-domo ga Yume,A Soldier's Dream,17,29/07/2019,"Episode 950 (p. 2-13), Episode 951 (p. 14-17)",,,,
951,94,Rampage,Ranpeiji,Rampage,19,05/08/2019,"Episode 951 (p. 3-9), Episode 952 (p. 10-19)",,,,
952,94,Hiyori and Kawamatsu,Hiyori to Kawamatsu,Hiyori and Kawamatsu,17,19/08/2019,"Episode 952 (p. 2-4), Episode 953 (p. 5-17)",,,,
953,94,Once a Fox,Ichido Gitsune,Once a Fox,17,26/08/2019,"Episode 953 (p. 2), Episode 954 (p. 3-17)",,,,
954,95,Like Giving Wings to a Dragon,Ryu ni Tsubasa o Etaru Gotoshi,Like a Dragon Given Wings,15,02/09/2019,Episode 955 (p. 2-15),,,,
955,95,Enma,Enma,Enma,17,14/09/2019,Episode 956 (p. 2-17),,,,
956,95,Big News,Biggu Nyusu,Big News,17,21/09/2019,Episode 957 (p. 2-17),,,,
957,95,Ultimate,Arutimetto,Ultimate,19,30/09/2019,Episode 958 (p. 3-19),,,,
958,95,The Promised Port,Yakusoku no Minato,The Promised Port,15,07/10/2019,Episode 959 (p. 2-15),,,,
